item_number,条目编号,A,CVI,PC值,K+
1,1.咱们,6,1,0.016,1
2,2.咱,6,1,0.016,1
3,3.吾等,6,1,0.016,1
4,4.吾人,4,0.666666667,0.234,0.564838991
5,5.我们,6,1,0.016,1
6,6.我俩,5,0.833333333,0.094,0.816041206
7,7.我们俩,5,0.833333333,0.094,0.816041206
8,8.吾辈,6,1,0.016,1
9,9.家人,6,1,0.016,1
10,10.家里人,6,1,0.016,1
11,11.家庭,6,1,0.016,1
12,12.家族,6,1,0.016,1
13,13.家,6,1,0.016,1
14,14.亲情,6,1,0.016,1
15,15.亲人,6,1,0.016,1
16,16.帮助,6,1,0.016,1
17,17.互助,6,1,0.016,1
18,18.互相帮助,6,1,0.016,1
19,19.助人,6,1,0.016,1
20,20.合作,6,1,0.016,1
21,21.协作,6,1,0.016,1
22,22.抱团,6,1,0.016,1
23,23.共同,6,1,0.016,1
24,24.一起,6,1,0.016,1
25,25.团体,6,1,0.016,1
26,26.团队,6,1,0.016,1
27,27.站队,4,0.666666667,0.234,0.564838991
28,28.传统,3,0.5,0.312,0.273255814
29,29.群众,5,0.833333333,0.094,0.816041206
30,30.友情,6,1,0.016,1
31,31.友谊,6,1,0.016,1
32,32.和谐,5,0.833333333,0.094,0.816041206
33,33.集体,6,1,0.016,1
34,34.妥协,4,0.666666667,0.234,0.564838991
35,35.共享,6,1,0.016,1
36,36.分享,6,1,0.016,1
37,37.团结,6,1,0.016,1
38,38.统一,6,1,0.016,1
39,39.义务,5,0.833333333,0.094,0.816041206
40,40.责任,5,0.833333333,0.094,0.816041206
41,41.奉献,6,1,0.016,1
42,42.亲近,6,1,0.016,1
43,43.谦虚,3,0.5,0.312,0.273255814
44,44.谦逊,3,0.5,0.312,0.273255814
45,45.无私,5,0.833333333,0.094,0.816041206
46,46.归属,6,1,0.016,1
47,47.归属感,6,1,0.016,1
48,48.共度,6,1,0.016,1
49,49.服从,6,1,0.016,1
50,50.共赢,6,1,0.016,1
51,51.牺牲,6,1,0.016,1
52,52.班级,6,1,0.016,1
53,53.我国,6,1,0.016,1
54,54.国家,6,1,0.016,1
55,55.组织,5,0.833333333,0.094,0.816041206
56,56.集体荣誉,6,1,0.016,1
57,57.凝聚力,6,1,0.016,1
58,58.凝聚,6,1,0.016,1
59,59.一致,6,1,0.016,1
60,60.依赖,6,1,0.016,1
61,61.众志成城,6,1,0.016,1
62,62.同舟共济,6,1,0.016,1
63,63.万众一心,6,1,0.016,1
64,64.我妈,5,0.833333333,0.094,0.816041206
65,65.我爸,5,0.833333333,0.094,0.816041206
66,66.我姐,5,0.833333333,0.094,0.816041206
67,67.我妹,5,0.833333333,0.094,0.816041206
68,68.为荣,5,0.833333333,0.094,0.816041206
69,69.爆款,3,0.5,0.312,0.273255814
70,70.同款,4,0.666666667,0.234,0.564838991
71,71.爸妈,5,0.833333333,0.094,0.816041206
72,72.爸爸妈妈,5,0.833333333,0.094,0.816041206
73,73.舍友,6,1,0.016,1
74,74.我和爸爸,5,0.833333333,0.094,0.816041206
75,75.我和妈妈,5,0.833333333,0.094,0.816041206
76,76.我和姐姐,5,0.833333333,0.094,0.816041206
77,77.我和弟弟,5,0.833333333,0.094,0.816041206
78,78.我和哥哥,5,0.833333333,0.094,0.816041206
79,79.都行,4,0.666666667,0.234,0.564838991
80,80.全员,6,1,0.016,1
81,81.爷爷奶奶,5,0.833333333,0.094,0.816041206
82,82.团建,6,1,0.016,1
83,83.朋友,6,1,0.016,1
84,84.闺蜜,6,1,0.016,1
85,85.集美,6,1,0.016,1
86,86.学弟,5,0.833333333,0.094,0.816041206
87,87.回家,6,1,0.016,1
88,88.大家,6,1,0.016,1
89,89.加油,4,0.666666667,0.234,0.564838991
90,90.参与,6,1,0.016,1
91,91.我的城,5,0.833333333,0.094,0.816041206
92,92.我们的城,6,1,0.016,1
93,93.祖国,6,1,0.016,1
94,94.祖国母亲,6,1,0.016,1
95,95.我的国,6,1,0.016,1
96,96.家乡,6,1,0.016,1
97,97.规章,5,0.833333333,0.094,0.816041206
98,98.制度,5,0.833333333,0.094,0.816041206
99,99.同胞,6,1,0.016,1
100,100.中华民族,6,1,0.016,1
101,101.华夏民族,6,1,0.016,1
102,102.殉职,5,0.833333333,0.094,0.816041206
103,103.阿中,4,0.666666667,0.234,0.564838991
104,104.中国人,6,1,0.016,1
105,105.中国人民,6,1,0.016,1
106,106.英烈,6,1,0.016,1
107,107.勿忘国耻,6,1,0.016,1
108,108.舍生忘死,6,1,0.016,1
109,109.同生同源,6,1,0.016,1
110,110.社区,6,1,0.016,1
111,1.认同,6,1,0.016,1
112,2.交流,6,1,0.016,1
113,3.协调,6,1,0.016,1
114,4.互动,6,1,0.016,1
115,5.适应,6,1,0.016,1
116,6.分配,6,1,0.016,1
117,7.忠诚,6,1,0.016,1
118,8.标准,5,0.833333333,0.094,0.816041206
119,9.原则,5,0.833333333,0.094,0.816041206
120,10.规则,5,0.833333333,0.094,0.816041206
121,11.同质,6,1,0.016,1
122,12.保守,5,0.833333333,0.094,0.816041206
123,13.同情,5,0.833333333,0.094,0.816041206
124,14.怜悯,4,0.666666667,0.234,0.564838991
125,15.关注,4,0.666666667,0.234,0.564838991
126,16.害羞,4,0.666666667,0.234,0.564838991
127,17.惭愧,4,0.666666667,0.234,0.564838991
128,18.关系,6,1,0.016,1
129,19.特权,4,0.666666667,0.234,0.564838991
130,20.规范,5,0.833333333,0.094,0.816041206
131,21.惯例,5,0.833333333,0.094,0.816041206
132,22.命运,4,0.666666667,0.234,0.564838991
133,23.尊重,4,0.666666667,0.234,0.564838991
134,24.控制,4,0.666666667,0.234,0.564838991
135,25.面子,5,0.833333333,0.094,0.816041206
136,26.颜面,5,0.833333333,0.094,0.816041206
137,27.回报,6,1,0.016,1
138,28.报答,6,1,0.016,1
139,29.援助,6,1,0.016,1
140,30.贡献,6,1,0.016,1
141,31.谨慎,4,0.666666667,0.234,0.564838991
142,32.支持,5,0.833333333,0.094,0.816041206
143,33.关联,6,1,0.016,1
144,34.容忍,5,0.833333333,0.094,0.816041206
145,35.请教,5,0.833333333,0.094,0.816041206
146,36.得体,5,0.833333333,0.094,0.816041206
147,37.前,3,0.5,0.312,0.273255814
148,38.后,3,0.5,0.312,0.273255814
149,39.左,3,0.5,0.312,0.273255814
150,40.右,3,0.5,0.312,0.273255814
151,41.你们,5,0.833333333,0.094,0.816041206
152,42.他们,5,0.833333333,0.094,0.816041206
153,43.她们,5,0.833333333,0.094,0.816041206
154,44.它们,5,0.833333333,0.094,0.816041206
155,45.父亲,5,0.833333333,0.094,0.816041206
156,46.爸爸,5,0.833333333,0.094,0.816041206
157,47.爹,5,0.833333333,0.094,0.816041206
158,48.妈妈,5,0.833333333,0.094,0.816041206
159,49.母亲,5,0.833333333,0.094,0.816041206
160,50.娘,5,0.833333333,0.094,0.816041206
161,51.哥,5,0.833333333,0.094,0.816041206
162,52.哥哥,5,0.833333333,0.094,0.816041206
163,53.姐,5,0.833333333,0.094,0.816041206
164,54.姐姐,5,0.833333333,0.094,0.816041206
165,55.妹,5,0.833333333,0.094,0.816041206
166,56.妹妹,5,0.833333333,0.094,0.816041206
167,57.弟,5,0.833333333,0.094,0.816041206
168,58.弟弟,5,0.833333333,0.094,0.816041206
169,59.表哥,5,0.833333333,0.094,0.816041206
170,60.表姐,5,0.833333333,0.094,0.816041206
171,61.叔叔,5,0.833333333,0.094,0.816041206
172,62.叔,5,0.833333333,0.094,0.816041206
173,63.姑妈,5,0.833333333,0.094,0.816041206
174,64.姑,5,0.833333333,0.094,0.816041206
175,65.姨妈,5,0.833333333,0.094,0.816041206
176,66.姨,5,0.833333333,0.094,0.816041206
177,67.舅舅,5,0.833333333,0.094,0.816041206
178,68.舅,5,0.833333333,0.094,0.816041206
179,69.外甥,5,0.833333333,0.094,0.816041206
180,70.外甥女,5,0.833333333,0.094,0.816041206
181,71.侄子,5,0.833333333,0.094,0.816041206
182,72.侄,5,0.833333333,0.094,0.816041206
183,73.侄女,5,0.833333333,0.094,0.816041206
184,74.伯伯,5,0.833333333,0.094,0.816041206
185,75.大爷,5,0.833333333,0.094,0.816041206
186,76.爷爷,5,0.833333333,0.094,0.816041206
187,77.姥爷,5,0.833333333,0.094,0.816041206
188,78.奶奶,5,0.833333333,0.094,0.816041206
189,79.姥姥,5,0.833333333,0.094,0.816041206
190,80.儿子,5,0.833333333,0.094,0.816041206
191,81.女儿,5,0.833333333,0.094,0.816041206
192,82.孙子,5,0.833333333,0.094,0.816041206
193,83.孙女,5,0.833333333,0.094,0.816041206
194,84.外孙,5,0.833333333,0.094,0.816041206
195,85.外孙女,5,0.833333333,0.094,0.816041206
196,86.邻居,5,0.833333333,0.094,0.816041206
197,87.同事,5,0.833333333,0.094,0.816041206
198,88.亲戚,5,0.833333333,0.094,0.816041206
199,89.熟人,5,0.833333333,0.094,0.816041206
200,90.外地人,5,0.833333333,0.094,0.816041206
201,91.老爷,3,0.5,0.312,0.273255814
202,1.我,5,0.833333333,0.094,0.816041206
203,2.人家,6,1,0.016,1
204,3.鄙人,6,1,0.016,1
205,4.己,6,1,0.016,1
206,5.自已,6,1,0.016,1
207,6.自己,6,1,0.016,1
208,7.我我,5,0.833333333,0.094,0.816041206
209,8.我一个人,5,0.833333333,0.094,0.816041206
210,9.我自己,6,1,0.016,1
211,10.我人,6,1,0.016,1
212,11.老子,6,1,0.016,1
213,12.俺,6,1,0.016,1
214,13.自我,6,1,0.016,1
215,14.我来,6,1,0.016,1
216,15.我为,6,1,0.016,1
217,16.就是我,6,1,0.016,1
218,17.不一样,5,0.833333333,0.094,0.816041206
219,18.与众不同,6,1,0.016,1
220,19.能力,5,0.833333333,0.094,0.816041206
221,20.自由,6,1,0.016,1
222,21.独立,6,1,0.016,1
223,22.自主,5,0.833333333,0.094,0.816041206
224,23.自立,6,1,0.016,1
225,24.特立独行,6,1,0.016,1
226,25.成就,6,1,0.016,1
227,26.创新,6,1,0.016,1
228,27.个性,6,1,0.016,1
229,28.独特,6,1,0.016,1
230,29.开放,6,1,0.016,1
231,30.权利,6,1,0.016,1
232,31.独自,6,1,0.016,1
233,32.单独,6,1,0.016,1
234,33.孤独,5,0.833333333,0.094,0.816041206
235,34.一人,6,1,0.016,1
236,35.独处,6,1,0.016,1
237,36.竞争,6,1,0.016,1
238,37.私人,6,1,0.016,1
239,38.权力,6,1,0.016,1
240,39.民主,4,0.666666667,0.234,0.564838991
241,40.个体,5,0.833333333,0.094,0.816041206
242,41.个人,5,0.833333333,0.094,0.816041206
243,42.本人,5,0.833333333,0.094,0.816041206
244,43.小资,4,0.666666667,0.234,0.564838991
245,44.多元化,5,0.833333333,0.094,0.816041206
246,45.多样化,5,0.833333333,0.094,0.816041206
247,46.直截了当,5,0.833333333,0.094,0.816041206
248,47.我行我素,6,1,0.016,1
249,48.单飞,5,0.833333333,0.094,0.816041206
250,49.自私,6,1,0.016,1
251,50.强大,5,0.833333333,0.094,0.816041206
252,51.自恋,6,1,0.016,1
253,52.获得,4,0.666666667,0.234,0.564838991
254,53.努力,4,0.666666667,0.234,0.564838991
255,54.利己,6,1,0.016,1
256,55.我觉得,6,1,0.016,1
257,56.我认为,6,1,0.016,1
258,57.我喜欢,6,1,0.016,1
259,58.我很喜欢,6,1,0.016,1
260,59.我知道,6,1,0.016,1
261,60.告诉我,6,1,0.016,1
262,61.给我,6,1,0.016,1
263,62.给爷,6,1,0.016,1
264,63.我可以,6,1,0.016,1
265,64.我希望,6,1,0.016,1
266,65.我相信,6,1,0.016,1
267,66.相信自己,5,0.833333333,0.094,0.816041206
268,67.我决定,6,1,0.016,1
269,68.我没有,6,1,0.016,1
270,69.我一定要,6,1,0.016,1
271,70.我看,6,1,0.016,1
272,1.我要,6,1,0.016,1
273,2.我跑,6,1,0.016,1
274,3.我用,6,1,0.016,1
275,4.我不会,6,1,0.016,1
276,5.我活,6,1,0.016,1
277,6.我也不知道,4,0.666666667,0.234,0.564838991
278,7.自己去,6,1,0.016,1
279,8.当我,5,0.833333333,0.094,0.816041206
280,9.而我,5,0.833333333,0.094,0.816041206
281,10.我终于,5,0.833333333,0.094,0.816041206
282,11.看我,5,0.833333333,0.094,0.816041206
283,12.看看我,6,1,0.016,1
284,13.因为我,5,0.833333333,0.094,0.816041206
285,14.我心中,5,0.833333333,0.094,0.816041206
286,15.我心,5,0.833333333,0.094,0.816041206
287,16.学人精,5,0.833333333,0.094,0.816041206
288,17.真的,3,0.5,0.312,0.273255814
289,18.取关,5,0.833333333,0.094,0.816041206
290,19.给我发,5,0.833333333,0.094,0.816041206
291,20.限定,5,0.833333333,0.094,0.816041206
292,21.主动,5,0.833333333,0.094,0.816041206
293,22.需要,3,0.5,0.312,0.273255814
294,23.批评,5,0.833333333,0.094,0.816041206
295,24.表达,5,0.833333333,0.094,0.816041206
296,25.坚持,6,1,0.016,1
297,26.尊严,6,1,0.016,1
298,27.在意,6,1,0.016,1
299,28.想要,6,1,0.016,1
300,29.区别,6,1,0.016,1
301,30.冷酷,5,0.833333333,0.094,0.816041206
302,31.冷漠,5,0.833333333,0.094,0.816041206
303,32.无情,5,0.833333333,0.094,0.816041206
304,33.选择,6,1,0.016,1
305,34.果断,6,1,0.016,1
306,35.自豪,6,1,0.016,1
307,36.争论,6,1,0.016,1
308,37.自食其力,6,1,0.016,1
309,38.自力更生,6,1,0.016,1
310,39.无聊,4,0.666666667,0.234,0.564838991
311,40.机会平等,5,0.833333333,0.094,0.816041206
312,41.特质,6,1,0.016,1
313,42.风格,5,0.833333333,0.094,0.816041206
314,43.拜金,4,0.666666667,0.234,0.564838991
315,44.冲突,4,0.666666667,0.234,0.564838991
316,45.宽容,4,0.666666667,0.234,0.564838991
317,46.一己之力,6,1,0.016,1
318,47.兴趣,6,1,0.016,1
319,48.潜能,5,0.833333333,0.094,0.816041206
320,49.理想,5,0.833333333,0.094,0.816041206
321,50.挑战,6,1,0.016,1
322,51.直接,5,0.833333333,0.094,0.816041206
323,52.东,3,0.5,0.312,0.273255814
324,53.南,3,0.5,0.312,0.273255814
325,54.西,3,0.5,0.312,0.273255814
326,55.北,3,0.5,0.312,0.273255814
327,56.你,6,1,0.016,1
328,57.她,6,1,0.016,1
329,58.他,6,1,0.016,1
330,59.它,6,1,0.016,1
